label,text
site_info,сайт
site_info,саит
site_info,сайты
site_info,расскажи про сайт
site_info,что за сайт
site_info,расскажи об этом сайте
site_info,информация о сайте
site_info,что ты знаешь про сайт
site_info,какой это сайт
site_info,о чём этот сайт
site_info,объясни про сайт
site_info,что за саит
site_info,раскажи об етом сайте
site_info,информация о саите
site_info,што ты знаеш про сайт
site_info,какой ето саит
site_info,о чём етот сайт
site_info,объесни про саит
site_info,что это за вебсайт
site_info,про что этот сайт
site_info,для чего этот сайт
site_info,что представляет собой сайт
site_info,что ты знаешь об этом ресурсе
site_info,этот сайт для чего
site_info,что включает в себя сайт
site_info,объясни суть сайта
site_info,зачем этот сайт
site_info,сайт предназначен для
site_info,расскажи об этом ресурсе
site_info,что о сайте можешь рассказать
site_info,какая цель этого сайта
site_info,какая информация на этом сайте
site_info,что особенного на сайте
site_info,зачем создан этот сайт
site_info,какова цель сайта
site_info,какие функции у сайта
site_info,что включает сайт
site_info,о чём сайт вообще
site_info,объясни принцип работы сайта
site_info,что можно найти на сайте
site_info,расскажи об особенностях сайта
site_info,что важного на этом сайте
site_info,чем интересен сайт
site_info,какая цель у сайта
site_info,что в себе содержит сайт
site_info,что полезного на сайте
site_info,как работает этот сайт
site_info,этот сайт для чего предназначен
legend_info,покажи легенду
legend_info,расскажи легенду
legend_info,что означает эта легенда
legend_info,поясни легенду
legend_info,легенда это что
legend_info,о чём говорит эта легенда
legend_info,как понять эту легенду
legend_info,што означает ета легенда
legend_info,посяни легенду
legend_info,легенда ето што
legend_info,о чём говарит ета легенда
legend_info,как понять ету легенду
legend_info,что обозначает эта легенда
legend_info,расскажи что значит эта легенда
legend_info,что стоит за этой легендой
legend_info,поясни значение легенды
legend_info,расскажи что в легенде
legend_info,как расшифровать легенду
legend_info,о чём эта легенда говорит
legend_info,что показывает эта легенда
legend_info,поясни как понять эту легенду
legend_info,легенда объясняет что
legend_info,что нужно понимать под легендой
legend_info,как истолковать эту легенду
legend_info,о чём эта информация в легенде
legend_info,как интерпретировать легенду
legend_info,что нам говорит эта легенда
legend_info,раскрой значение легенды
legend_info,что в этой легенде за смысл
legend_info,легенда на что указывает
legend_info,как интерпретировать значения легенды
legend_info,что обозначает данная легенда
legend_info,какова суть этой легенды
legend_info,чем полезна эта легенда
legend_info,что делает эта легенда важной
legend_info,покажи смысл этой легенды
open_card,покажи карту
open_card,открой карту
open_card,карта
open_card,хочу увидеть карту
open_card,покажи местность на карте
open_card,где карта
open_card,отобрази карту
open_card,покажи план местности
open_card,аткрой карту
open_card,карата
open_card,хочу увиеть карту
open_card,покажи местнасть на карте
open_card,где карата
open_card,отобрази карату
open_card,покажи план местнасти
open_card,где же карта
open_card,как посмотреть карту
open_card,есть карта
open_card,карта местности
open_card,включи карту
open_card,как открыть карту
open_card,отобрази план
open_card,покажи карту местности
open_card,дай мне карту
open_card,как найти карту
open_card,что на карте
open_card,отобрази местность
open_card,где карта расположена
open_card,что на карте изображено
open_card,покажи карту области
disability_group,расскажи про группу инвалидности
disability_group,какая это группа
disability_group,расскажи об инвалидности
disability_group,что это за группа инвалидности
disability_group,объясни про инвалидность
disability_group,какие бывают группы инвалидности?
disability_group,объясни группы инвалидности
disability_group,какая ето группа
disability_group,раскажи об инвалидности
